title,genres
Suffragette (2015),Drama
War Room (2015),Drama
Legend (2015),Crime|Thriller
Deathgasm (2015),Comedy|Horror
The Danish Girl (2015),Drama
Green Room (2015),Drama
The Dress (1996),Comedy|Drama
Beasts of No Nation (2015),Drama|War
Contracted: Phase II (2015),Drama|Horror|Thriller
Tiger Orange (2014),Drama
Female on the Beach (1955),Crime|Drama|Mystery|Romance|Thriller
Romeos (2011),Drama
Listen to Me Marlon (2015),Documentary
The Night Before (2015),Comedy
Everest (2015),Adventure|Drama|Thriller
Spotlight (2015),Thriller
Pawn Sacrifice (2015),Drama
Burnt (2015),Drama
Hotel Transylvania 2 (2015),Animation|Comedy
Narcopolis (2014),Mystery|Sci-Fi|Thriller
Ashby (2015),Comedy|Drama
Glen Campbell: I'll Be Me (2014),Documentary|Drama
Bridge of Spies (2015),Drama|Thriller
Hyena Road (2012),Thriller
Into the Grizzly Maze (2015),Action|Horror|Thriller
The Invitation (2015),Horror|Thriller
Hail Caesar! (2016),Comedy
February (2015),Horror
Goosebumps (2015),Adventure|Comedy|Horror
The Perfect Guy (2015),Drama|Thriller
Bone Tomahawk (2015),Horror|Western
The Dressmaker (2015),Comedy|Drama|Thriller
Strictly Business (1991),Comedy|Romance
Rubble Kings (2015),Documentary
Concussion (2015),Drama
Peanuts Movie (2015),Adventure|Animation|Children|Comedy
The Boy and the Beast (2015),Action|Adventure|Animation
Plan B (2009),Comedy|Drama|Romance
Land of Storms (2014),Drama
Naomi and Ely's No Kiss List (2015),Comedy|Drama|Romance
Creed (2015),Drama
Twinsters (2015),Documentary
Solace (2015),Fantasy|Mystery|Thriller
Bana Masal Anlatma (2015),Comedy|Drama
Thou Gild'st the Even (2013),Drama|Fantasy|Romance
Straight-Jacket (2004),Comedy
İtirazım Var (2014),Action|Crime|Drama
Manson Family Vacation (2015),Comedy|Drama|Thriller
Pek Yakında (2014),Action|Comedy|Drama
A Very Murray Christmas (2015),Comedy
Schneider vs. Bax (2015),Comedy|Thriller
Truth (2015),Drama
Big Short (2015),Drama
The Ridiculous 6 (2015),Comedy|Western
World of Tomorrow (2015),Animation|Comedy
Zoolander 2 (2016),Comedy
How to Be Single (2016),Comedy|Romance
Daddy's Home (2015),Comedy
Sisters (2015),Children|Comedy
Kung Fu Panda 3 (2016),Action|Adventure|Animation
Marco Polo: One Hundred Eyes (2015),Adventure|History
A.R.O.G. (2008),Comedy|Fantasy
Standoff (2016),Thriller
Bajirao Mastani (2015),Romance|War
Swelter (2014),Action|Drama|Thriller
Pride and Prejudice and Zombies (2016),Comedy|Horror|Romance|Thriller
Close Range (2015),Action|Crime
Sherlock: The Abominable Bride (2016),Action|Crime|Drama|Mystery|Thriller
Making a Murderer (2015),Documentary
The Lovers and the Despot (2010),Romance
The Boy (2016),Horror|Thriller
Me Before You (2016),Drama|Romance
SOMM: Into the Bottle (2016),Documentary
Miles Ahead (2016),Drama
10 Cloverfield Lane (2016),Thriller
London Has Fallen (2016),Action|Crime|Thriller
Zootopia (2016),Action|Adventure|Animation|Children|Comedy
The Brothers Grimsby (2016),Comedy
Michael Jackson's Thriller (1983),Horror
Demons (1971),Horror
The Last Days of Emma Blank (2009),Comedy
The Neon Demon (2016),Drama|Horror|Mystery
Hello My Name Is Doris (2016),Drama
Life Is Sacred (2014),Documentary
Keanu (2016),Comedy
Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy
Sing Street (2016),Drama
The Huntsman Winter's War (2016),Action|Adventure|Drama|Fantasy
Neighbors 2: Sorority Rising (2016),Comedy
Hush (2016),Thriller
Money Monster (2016),Drama|Thriller
Finding Dory (2016),Adventure|Animation|Comedy
I Am Wrath (2016),Action|Crime|Drama|Thriller
Mother's Day (2016),Comedy
The Nice Guys (2016),Crime|Mystery|Thriller
Daniel Tosh: Completely Serious (2007),Comedy
The Shallows (2016),Drama|Thriller
The Handmaiden (2016),Drama|Romance|Thriller
Kill Command (2016),Action|Horror|Sci-Fi
Now You See Me 2 (2016),Action|Comedy|Thriller
The Video Dead (1987),Horror
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Action|Adventure|Comedy
Popstar: Never Stop Never Stopping (2016),Comedy
The Conjuring 2 (2016),Horror
Approaching the Unknown (2016),Drama|Sci-Fi|Thriller
Ghostbusters (2016),Action|Comedy|Horror|Sci-Fi
Central Intelligence (2016),Action|Comedy
Jason Bourne (2016),Action
The Maid's Room (2014),Thriller
The Legend of Tarzan (2016),Action|Adventure
The Purge: Election Year (2016),Action|Horror|Sci-Fi
Mike & Dave Need Wedding Dates (2016),Comedy
Survive and Advance (2013),Adventure|Comedy
Tallulah (2016),Drama
Piper (2016),Animation
Nerve (2016),Drama|Thriller
My Friend Rockefeller (2015),Documentary
Sunspring (2016),Sci-Fi
Author: The JT LeRoy Story (2016),Documentary
Hell or High Water (2016),Crime|Drama
Kingsglaive: Final Fantasy XV (2016),Action|Adventure|Animation|Drama|Fantasy|Sci-Fi
Body (2015),Drama|Horror|Thriller
Sharknado 4: The 4th Awakens (2016),Action|Adventure|Horror|Sci-Fi
The Last Brickmaker in America (2001),Drama
Stranger Things (2010),Drama
Rustom (2016),Romance|Thriller
Mohenjo Daro (2016),Adventure|Drama|Romance
Shin Godzilla (2016),Action|Adventure|Fantasy|Sci-Fi
The Beatles: Eight Days a Week - The Touring Years (2016),Documentary
The Gay Desperado (1936),Comedy
Women of '69 (2008),Documentary